City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
339,mata-utu,-13.2816,176.1745,300.7,79,11,7.48,WF,1694572616
340,turabah,21.2141,-41.6331,298.69,40,96,1.19,SA,1694572616
341,kedrovyy,56.1667,-91.8167,283.38,97,100,2.31,RU,1694572617
342,jining,35.405,-116.5814,299.85,60,12,3.86,CN,1694572591
343,huarmey,-10.0681,78.1522,291.73,84,14,5.24,PE,1694572617
344,crane,31.3974,102.3501,294.94,70,86,5.15,US,1694572617
345,saudarkrokur,65.7461,19.6394,277.84,76,99,4.8,IS,1694572618
346,geraldton,-28.7667,-114.6,296.38,56,100,15.43,AU,1694572618
347,cooper's town,26.8667,77.5167,301.87,74,2,6.68,BS,1694572618
348,namibe,-15.1961,-12.1522,289.47,93,20,1.42,AO,1694572618
349,kavaratti,10.5669,-72.642,300.78,80,91,6.42,IN,1694572618
350,santana,-0.0583,51.1817,301.25,69,20,3.09,BR,1694572619
351,port-vila,-17.7338,-168.3219,296.93,88,100,6.17,VU,1694572619
352,flin flon,54.7682,101.865,286.09,54,35,4.07,CA,1694572619
353,christiansburg,37.1298,80.4089,292.16,92,0,0.0,US,1694572619
354,greymouth,-42.4667,-171.2,283.71,77,87,4.48,NZ,1694572620
355,porbandar,21.6422,-69.6093,301.29,76,52,4.65,IN,1694572396
356,ancud,-41.8697,73.8203,280.79,88,59,3.59,CL,1694572620
357,qamdo,31.1667,-97.2333,281.84,46,0,0.67,CN,1694572620
358,funafuti,-8.5243,-179.1942,304.15,79,75,6.69,TV,1694572398
